Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
Overcart,https://www.crunchbase.com/organization/overcart,"E-Commerce, Internet, Marketplace, Retail",Overcart is India's first marketplace for over-stock,"1,970",101-250,2019-01-01,2012-01-01,year,http://www.linkedin.com/company/gamesinc,http://www.overcart.com/,,1(800)116-837,,"Alex Souter, Saptarshi Nath",Venture - Series Unknown,,2017-11-02,day,2,"Omidyar Network, JSW Ventures, Rajesh Sawhney, Startup Equity Partners, Ganesh Krishnan",,,,,,,
Happy Returns,https://www.crunchbase.com/organization/happy-returns,"Customer Service, E-Commerce, Retail Technology",Happy Returns provides comprehensive return solutions for leading online and omni-channel retailers and their customers.,"2,004",51-100,2019-04-25,2015-09-01,month,https://www.linkedin.com/company/happy-returns/,https://www.happyreturns.com,info@happyreturns.com,,,"David Sobie, Mark Geller",Venture - Series Unknown,,,,2,"Upfront Ventures, Lowercase Capital, Maveron, U.S. Venture Partners (USVP), PayPal Ventures",,,,,11000000,USD,11000000
Playtomic,https://www.crunchbase.com/organization/playtomic,"Apps, E-Commerce, Reservations, SaaS, Software, Sports",SaaS Enabled Marketplace,"2,059",51-100,2019-04-24,2016-01-01,year,https://www.linkedin.com/company/playtomic,http://www.playtomic.io,hola@playtomic.io,+34 91 651 94 65,,"Domingo Guzman, Felix Ruiz, Pablo Carro, Pedro Clavería, Sergio Servet",Venture - Series Unknown,,,,5,"GP Bullhound, Optimizer Invest, Victor Jacobsson",,,,1,6000000,EUR,6692096
Netomi,https://www.crunchbase.com/organization/netomi,"Artificial Intelligence, Customer Service, Digital Marketing, E-Commerce, Enterprise Software, Machine Learning, SaaS",Netomi is a machine intelligence company that uses AI to turn customer service into a competitive edge.,"2,289",51-100,2019-03-01,2015-05-01,month,https://www.linkedin.com/company/netomi/,https://www.netomi.com/,,888-445-8333,,Puneet Mehta,Series A,Early Stage Venture,,,1,"Y Combinator, Salesforce Ventures, Index Ventures, Bowery Capital, Dick Costolo",,,,,10000000,USD,10000000
Supr Daily,https://www.crunchbase.com/organization/supr-daily,"Agriculture, AgTech, Delivery Service, E-Commerce, Food and Beverage",Supr Daily provides an online subscription-based milk ordering platform designed to digitize existing milk delivery system.,"2,291",11-50,2019-01-01,2015-01-01,year,https://www.linkedin.com/company/suprdaily/,http://www.suprdaily.com/,care@suprdaily.com,9699000035,,"Puneet Kumar, Shreyas Nagdawane",Venture - Series Unknown,M&A,,,2,"Y Combinator, Venture Catalysts, FundersClub, Great Oaks Venture Capital, Soma Capital",,,,,,,
ShopX,https://www.crunchbase.com/organization/10i-commerce-services-pvt-ltd,"E-Commerce, Internet","ShopX is a technology company using digital commerce to make products, content & services available to all.","2,515",101-250,2019-05-07,2015-01-01,year,https://www.linkedin.com/company-beta/10398226/,http://www.shopx.in/,,,,"Amit Sharma, Apoorva Jois",Venture - Series Unknown,,,,2,"Nandan Nilekani, Fung Strategic Holdings",,,,1,15000000,USD,15000000
OZON.ru,https://www.crunchbase.com/organization/ozon-ru,"E-Commerce, Internet, Marketplace, Retail",OZON.ru is a Russian online store that offers the largest assortment of goods with more than 3.5 million items listed.,"2,578",5001-10000,2019-04-29,1998-01-01,year,https://www.linkedin.com/company/llc-internet-solutions-ozon-ru-/,https://www.ozon.ru/,help@ozon.ru,+7 495 730-67-67,,Wouter van der Wiel,Debt Financing,,,,1,"Rakuten, HV Holtzbrinck Ventures, Index Ventures, RTP Global, Baring Vostok Capital Partners",,,,2,10000000000,RUB,155117400
TaxJar,https://www.crunchbase.com/organization/taxjar,"E-Commerce, Lifestyle, Shopping",TaxJar is the leading technology solution for busy eCommerce sellers to manage sales tax. We're 100% remote.,"3,056",51-100,2019-01-09,2013-06-01,month,http://www.linkedin.com/company/taxjar,http://www.taxjar.com,support@taxjar.com,855-800-6681,,Mark Faggiano,Series A,Early Stage Venture,,,1,"Insight Partners, Rincon Venture Partners, Dan Rose, Harris Barton, Henry Shao",,,,,60000000,USD,60000000
ViaBill,https://www.crunchbase.com/organization/viabill,"Billing, E-Commerce, Software",ViaBill is a payment option that allows the users to pay the full amount or pay in installments.,"3,173",51-100,2019-02-07,2010-01-01,year,https://www.linkedin.com/company/873481/,http://www.viabill.com,investor@viabill.com,(888)268-26,,Jan Lytje-Hansen,Series A,Early Stage Venture,,,1,"BlackFin Capital Partners, e.ventures",,,,,10000000,USD,10000000
Pana,https://www.crunchbase.com/organization/pana,"Apps, E-Commerce, Mobile, Tourism, Travel",Pana combines real humans and modern tech to deliver extraordinary business travel.,"3,584",11-50,2019-04-29,2014-02-13,day,https://www.linkedin.com/company/pana-formerly-native-,https://www.pana.com/,hi@pana.com,+1 303-593-1388,Pledge 1%,"Devon Tivona, Lianne Haug, Sam Felsenthal",Series A,Early Stage Venture,,,3,"500 Startups, Galvanize, Bessemer Venture Partners, Right Side Capital Management, Techstars Ventures",,,,,10000000,USD,10000000
MatchMove Pay,https://www.crunchbase.com/organization/matchmove-pay,"Cloud Computing, E-Commerce, Financial Services, FinTech, Mobile Payments, Payments, Social Network",MatchMove Pay is Singapore’s fastest growing financial technology company providing innovative enterprise payments solutions,"3,652",51-100,2019-05-16,2009-01-01,year,https://www.linkedin.com/company/matchmove,https://www.matchmove.com/,queries@matchmove.com,1(800) 271-1371,,Shailesh Naik,Venture - Series Unknown,,,,1,"NTT DOCOMO Ventures, Credit Saison, Vickers Venture Partners, GMO VenturePartners",,,,,,,
Cashfree,https://www.crunchbase.com/organization/cashfree,"E-Commerce, Finance, Marketplace, Mobile Payments, Payments",Cashfree offers a complete payments and banking toolkit for businesses in India.,"3,654",51-100,2019-04-09,2015-07-01,month,https://www.linkedin.com/company/cashfree,http://www.cashfree.com,,,,"Akash Sinha, Reeju Datta",Series A,Early Stage Venture,,,2,"Y Combinator, 9Yards Capital, CABRA VC, Smilegate Investment, George Osborne",,,,,5500000,USD,5500000
Green Agrevolution,https://www.crunchbase.com/organization/dehaat,"Agriculture, E-Commerce, Farming, Internet",Green Agrevolution is an online marketplace for farm products and services.,"3,656",11-50,2019-05-15,2012-02-06,day,https://www.linkedin.com/company/dehaat/,http://agrevolution.in/,contact@agrevolution.in,+91 612 235 2244,,Shashank Kumar,Debt Financing,Seed,,,1,"Omnivore, Trifecta Capital Advisors, IIM Calcutta Innovation Park",,,,1,2840000,USD,2840000
Unbxd,https://www.crunchbase.com/organization/unbxd,"Artificial Intelligence, E-Commerce, Navigation, Software",Unbxd applies artificial intelligence and advanced data sciences to connect e-commerce shoppers to the products they are most likely to buy.,"3,669",11-50,2019-01-01,2011-10-04,day,http://www.linkedin.com/company/unbxd-inc,http://www.unbxd.com,info@unbxd.com,888 864 6934,,"Pavan Sondur, Prashant Kumar",Venture - Series Unknown,,,,2,"Eight Roads Ventures, Indian Angel Network, Chiratae Ventures, Orios Venture Partners, InnoVen Capital",,,,,,,
AxleHire,https://www.crunchbase.com/organization/axlehire,"Delivery, Delivery Service, E-Commerce, Logistics, Transportation",Integrated logistics provider for same-day/next-day e-commerce and retail fulfillment,"3,749",11-50,2019-05-30,2015-03-26,day,https://www.linkedin.com/company/axlehire,https://axlehire.com/,pr@axlehire.com,855-249-7447,,"Daniel Sokolovsky, Peter Wysinski",Series A,Early Stage Venture,,,2,"Eclipse Ventures, Berkeley SkyDeck, R/GA Ventures, Bee Partners, Acorn Pacific Ventures",,,,1,11000000,USD,11000000
IgnitionOne,https://www.crunchbase.com/organization/searchignite,"Advertising, Artificial Intelligence, Customer Service, Data Integration, Digital Marketing, Digital Media, E-Commerce, Machine Learning, Test and Measurement",IgnitionOne is a marketing technology and services that offers cloud-based Customer Intelligence solutions to enterprise marketers.,"4,034",251-500,2019-02-28,2004-01-01,year,http://www.linkedin.com/company/ignitionone,http://www.ignitionone.com,info@ignitionone.com,1(888) 744-6483,,Will Margiloff,Debt Financing,Early Stage Venture,,,1,"Horizon Technology Finance, SoftBank Capital, RBC Capital Markets, ABS Capital Partners, BrownSavano Direct Capital Partners",,,,3,5000000,USD,5000000
TaniHub,https://www.crunchbase.com/organization/tanihub,"Agriculture, E-Commerce, Farming, Internet, Restaurants","TaniHub is a B2B agriculture marketplace that connects farmers with food, hotel, restaurant & catering business people.","4,124",101-250,2019-05-27,2015-01-01,year,https://www.linkedin.com/company/tanihub,http://www.tanihub.com/,help@tanihub.com,,,"Eka Pamitra, Michael Sugianto, Miftahul Choiri, Wahyu Setyo Nugroho, Wawan B. Setyawan, William Setiawan",Series A,Early Stage Venture,,,6,"Openspace Ventures, Golden Gate, Alpha JWC Ventures, Intudo Ventures, DFS Lab",,,,,10000000,USD,10000000
Competera,https://www.crunchbase.com/organization/competera,"Artificial Intelligence, Business Intelligence, E-Commerce, Enterprise Software, Predictive Analytics, Price Comparison, SaaS, Software",Competera is a cloud-native AI-driven price optimization software which converts demand prediction into revenue for retailers.,"4,244",101-250,2019-02-05,2014-04-07,day,http://www.linkedin.com/company/competera,https://competera.net/,info@competera.net,+1 415 854 5391,,"Alexandr Galkin, Alexandr Sazonov, Andrew Mikhailov",Seed,Seed,,,3,SMRK VC Fund,,,,,500000,USD,500000
Rhone Apparel,https://www.crunchbase.com/organization/rhone-apparel,"E-Commerce, Retail, Wearables",Rhone Apparel apparel e commerce,"4,595",11-50,2019-03-08,2013-01-01,year,,https://www.rhone.com/,service@rhone.com,203-772-5420,,Nate Checketts,Venture - Series Unknown,,,,1,"L Catterton, M3 Ventures, Clearstone Venture Partners, Shane Battier, Steve Bornstein",,,,,9900000,USD,9900000
THE ICONIC,https://www.crunchbase.com/organization/the-iconic,"E-Commerce, Fashion, Marketplace",THE ICONIC is an online marketplace selling fashion products and footwear for men and women.,"4,721",501-1000,2019-05-21,2011-09-01,month,https://www.linkedin.com/company/the-iconic,http://theiconic.com.au,,+61 1300 668 345,,"Adam Jacobs, Andreas Otto, Cameron Votan, Finn Age Haensel",Venture - Series Unknown,,,,4,"Summit Partners, Kinnevik AB, Verlinvest",,,,,18000000,USD,18000000
Bold Commerce,https://www.crunchbase.com/organization/bold-innovation-group-ltd,"E-Commerce, Information Services, Information Technology, Software",We are an innovative software company that specializes in eCommerce websites & app development.,"4,779",251-500,2019-01-16,2012-04-18,day,https://www.linkedin.com/company/boldcommerce,http://boldcommerce.com/,,(204)808-8095,,"Eric Boisjoli, Jason Myers, Stefan Maynard, Yvan Boisjoi",Series A,Early Stage Venture,,,4,"Whitecap Venture Partners, Round13 Capital",,,,,16500000,USD,16500000
Bluestone.com,https://www.crunchbase.com/organization/bluestone-com,"E-Commerce, Internet, Jewelry",Bluestone is an online retailer where users can purchase a variety of jewelry.,"4,914",251-500,2019-01-01,2011-01-01,year,http://www.linkedin.com/company/bluestone-com,http://bluestone.com,cs@bluestone.com,,,"Gaurav Kushwaha, Vidya Nataraj",Venture - Series Unknown,,,,2,"Kalaari Capital, IIFL Investment Managers, Ratan Tata, Dragoneer Investment Group, Accel",,,,,,,
Confident Cannabis,https://www.crunchbase.com/organization/confident-cannabis,"Analytics, Cannabis, E-Commerce, Information Technology, Marketplace, SaaS, Software",The World's First Technology Solution To Bring Transparency And Consistency To Legal Cannabis Through Data And Insights.,"5,093",11-50,2019-01-16,2015-05-01,month,https://www.linkedin.com/company/confident-cannabis,http://www.confidentcannabis.com/,team@confidentcannabis.com,(866) 506-5866,,"Stephen Albarran, Tony Lewis",Series A,Early Stage Venture,,,2,"Y Combinator, FJ Labs, Louis Beryl, Bullpen Capital, Slow Ventures",,,,,12000000,USD,12000000
Housfy,https://www.crunchbase.com/organization/housfy-real-estate,"E-Commerce, Property Management, Real Estate, Real Estate Investment, Sales",Housfy develops a digital platform designed to sell flats and houses between private individuals.,"5,127",51-100,2019-05-30,2016-03-01,day,https://www.linkedin.com/company/housfy/,https://housfy.com/,social@housfy.com,(607)303-619,,"Albert Bosch, Carlos Blanco, Miquel Mora",Series A,Early Stage Venture,,,3,"Torch Capital, DN Capital, Cathay Innovation, Seaya Ventures, Loric Ventures",,,,,6000000,EUR,6677863
Wishi,https://www.crunchbase.com/organization/wishi,"E-Commerce, Fashion, Internet, Lifestyle, Marketplace, Social Media",YOUR PREMIUM DESTINATION FOR ONLINE STYLING,"5,190",11-50,2019-03-26,2014-01-01,year,https://www.linkedin.com/company/wishi,http://www.wishi.me,hello@wishi.me,,,"Aya Elhanan, Clea O'hana, Hila Angel, Lia Kislev, Shay Hasson",Series A,Early Stage Venture,,,5,"Farfetch, Seedrs, Venrex Investment Management, Chetrit Ventures, Karlie Kloss",,,,,5000000,USD,5000000
Anomalie,https://www.crunchbase.com/organization/anomalie,"E-Commerce, Fashion, Wedding",Anomalie designs and sells custom wedding gowns.,"5,227",51-100,2019-03-01,2016-01-01,year,https://www.linkedin.com/company/15219405,http://dressanomalie.com/,support@dressanomalie.com,,,"Calley Means, Leslie Voorhees",Series A,Early Stage Venture,,,2,"Lerer Hippeau, Liquid 2 Ventures, Maveron, Goodwater Capital, Signia Venture Partners",,,,,13600000,USD,13600000
Nua,https://www.crunchbase.com/organization/nua,"Consumer, Consumer Goods, E-Commerce",Nua is an all-new feminine care experience.,"5,345",1-10,2019-03-12,2017-01-01,year,https://www.linkedin.com/company/nuawoman,http://www.nuawoman.com,projjol@nuawoman.com,,,"Projjol Banerjea, Ravishankar Ramachandran, Swathi Kulkarni",Series A,Early Stage Venture,,,3,"Lightbox, Kae Capital, Projjol Banerjea",,,,,4500000,USD,4500000
ShopUp,https://www.crunchbase.com/organization/shopup,"Apps, E-Commerce, FinTech, Shopping",ShopUp is a marketplace for online and offline merchants to help them sell on social channels.,"5,352",101-250,2019-04-19,2015-01-01,year,https://www.linkedin.com/company/shopfront-limited,https://shopup.com.bd/,hello@shopf.co,09678771288,,"Afeef Zaman, Ataur Rahim Chowdhury",Seed,Seed,,,2,"Bill & Melinda Gates Foundation, Omidyar Network, Surge Ahead, Flourish Venture",,,,,1500000,USD,1500000
Territory Foods,https://www.crunchbase.com/organization/territoryfoods,"E-Commerce, Food and Beverage, Food Delivery, Personal Health, Personalization, Snack Food, Wellness","Chef-prepared meals with nutritionist-approved menus to support dietary preferences, powered by a proprietary personalization algorithm.","5,363",11-50,2019-02-12,2011-07-29,day,https://www.linkedin.com/company/territoryfoods/,http://www.territoryfoods.com/,hello@territoryfoods.com,443-564-3093,,"Jeff Kelley, Josh Kriger, Patrick Smith, Robert Morton",Series A,Early Stage Venture,,,4,"500 Startups, The Motley Fool, Upfront Ventures, Lewis & Clark Ventures, CIT GAP Funds",,,,,4000000,USD,4000000
InnerChef,https://www.crunchbase.com/organization/inner-chef,"Cooking, E-Commerce, Food and Beverage, Food Delivery, Online Portals",InnerChef is an Indian food tech company that offers a mobile app for online food discovery and delivery.,"5,770",101-250,2019-01-08,2015-04-01,day,https://www.linkedin.com/company/innerchef/,https://www.innerchef.com/,hello@innerchef.com,+91-11-4014-8000,,"Bal DiGhent, Rajesh Sawhney, Sanjeev Singhal",Series A,Early Stage Venture,,,3,"Priyanka Chopra, TA Ventures, Mistletoe, Endiya Partners, Vijay Shekhar Sharma",,,,2,6500000,USD,6500000
The Because Market,https://www.crunchbase.com/organization/the-because-market,"Assistive Technology, Consumer Goods, E-Commerce, Health Care, Manufacturing, Wellness",The Because Market is a new wellness brand and ecommerce company which provides Excellent Health and Wellness Products,"5,945",11-50,2019-02-18,2016-01-01,year,https://www.linkedin.com/company/becausemarket/,https://www.becausemarket.com/,help@becausemarket.com,+18553185318,,"Alexi Suvacioglu, Luca Gualco",Venture - Series Unknown,,,,2,"Khosla Ventures, Index Ventures, 1984 Ventures, Bow Capital, Innovation Endeavors",,,,,30000000,USD,30000000
BlueCart,https://www.crunchbase.com/organization/bluecart,"E-Commerce, Hospitality, Mobile, Restaurants, Wholesale",BlueCart™ is a web and mobile platform built to streamline and modernize the wholesale procurement process for buyers and sellers.,"6,049",51-100,2019-05-18,2014-07-01,day,http://www.linkedin.com/company/5018631,https://welcome.bluecart.com,support@bluecart.com,+1 (202) 780-8467,,"Jag Bansal, K Z",Venture - Series Unknown,,,,2,"Western Technology Investment, BlueRun Ventures, Greycroft, Almanac Insights, J. Hunt Holdings",,,,2,,,
BUMP,https://www.crunchbase.com/organization/bump-d27e,"Apps, E-Commerce, E-Commerce Platforms, Fashion, Marketplace, Mobile Apps, Service Industry, Shopping",Social P2P Marketplace for Gen Z (YC W18),"6,212",1-10,2019-04-10,2017-01-01,year,https://www.linkedin.com/company/sobump/,https://sobump.com/,hello@sobump.com,,,"Jack Ryder, Sam Howarth",Series A,Early Stage Venture,,,2,"Y Combinator, BAM Ventures, Kleiner Perkins, ACE & Company, Sinai Ventures",,,,,7500000,USD,7500000
Storr,https://www.crunchbase.com/organization/storr,"E-Commerce, Mobile Apps, Retail, Social Media","Storr enables anyone to open a store from their phone. On Storr, people make money selling products instead of retailers like Amazon.","6,246",11-50,2019-05-15,2016-07-19,day,https://in.linkedin.com/company/storr,https://www.storr.co/,support@storr.co,,,"Eric Senn, Jason Senn",Seed,Seed,,,2,"Spark Capital, Alex Rodriguez, Abstract Ventures, SV Angel, Craft Ventures",,,,,3000000,USD,3000000
Innoviti,https://www.crunchbase.com/organization/innoviti,"E-Commerce, Finance, Financial Services, Payments, Software","Innoviti develops payments processing, credit distribution, and payments management software solutions.","6,306",101-250,2019-03-15,2002-12-01,month,https://www.linkedin.com/company/innoviti-payment-solutions-pvt-ltd/,http://innoviti.com/,info@innoviti.com,1800-103-6702,,Rajeev Agrawal,Debt Financing,Early Stage Venture,,,1,"Bessemer Venture Partners, Trifecta Capital Advisors, Catamaran Ventures, Tata Capital, SBI Ven Capital",,,,,11500000,USD,11500000
LUNCH:ON,https://www.crunchbase.com/organization/lunch-on,"E-Commerce, Food and Beverage, Food Delivery, Food Processing, Information Technology, Internet, Location Based Services, Messaging","Lunch at work, without the work. No order minimums, free delivery and a menu designed for your office from the city's best restaurants.","6,335",11-50,2019-04-15,2016-02-01,day,https://www.linkedin.com/company/lunch-on,https://lunchon.ae,hello@turnlunchon.com,,,"Dana Baki, Mohammad Al Zaben",Series A,Early Stage Venture,,,2,"Global Ventures, Wamda Capital, Shorooq Partners, Dubai Angel Investors, Vision Ventures",,,,,2500000,USD,2500000
Uala,https://www.crunchbase.com/organization/hairdressr,"Beauty, E-Commerce, Fitness, Health Care, Wellness",Real time beauty salons online booking,"6,437",11-50,2019-05-28,2013-03-03,day,https://www.linkedin.com/company/3263024?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3263024%2Cidx%3A1-1-1%2CtarId%3A1465634240813%2Ctas%3Auala,http://www.uala.com,hello@uala.com,+39 02 5656 6170,,"Alessandro Bruzzi, Enzo Li Volti, Luca Mattivi, Luca Tironi",Series A,Early Stage Venture,,,4,"Club Italia Investimenti, Immobiliare.it",,,,2,15000000,EUR,16752457
"MANSCAPED, Inc.",https://www.crunchbase.com/organization/manscaped-inc,"Consumer Goods, E-Commerce, Health Care, Shopping","Create a dynamic educational movement and culture focused on the importance of men’s health, hygiene, and refinement.","6,467",11-50,2019-02-02,2017-01-01,day,https://www.linkedin.com/company/manscaped/,https://manscaped.com,support@manscaped.com,,,"Paul Tran, Steve King",Convertible Note,Seed,,,2,Wharton Alumni Angels,,,,,,,
Wego,https://www.crunchbase.com/organization/wego-com,"E-Commerce, Search Engine, Travel","Wego is an online search engine that enables travelers to find, compare, and book deals on hotels and flights for their travels.","6,754",101-250,2019-01-01,2005-09-01,day,http://www.linkedin.com/company/wego.com,http://www.wego.com,ross@wego.com,65 6692 0868,,"Craig Hewett, Ross Veitch",Venture - Series Unknown,,,,2,"Tiger Global Management, News Corp., Square Peg Capital, InnoVen Capital, Middle East Venture Partners (MEVP)",,,,1,,,
Sicepat Express,https://www.crunchbase.com/organization/sicepat-express,"E-Commerce, Information Technology",Sicepat Express provides several services to support businesses and puts forward practical solutions for e-commerce.,"6,957",5001-10000,2019-04-23,2014-01-01,day,,http://www.sicepat.com,,,,,Series A,Early Stage Venture,,,,"Kejora Ventures, Barito Teknologi",,,,,50000000,USD,50000000
Deliverect,https://www.crunchbase.com/organization/deliverect,"E-Commerce, E-Commerce Platforms, Food Delivery, Hospitality, Online Portals, Restaurants, SaaS, Software",Deliverect is a SaaS company that connects businesses with their customers through delivery.,"7,146",51-100,2019-04-02,2018-04-02,day,https://www.linkedin.com/company/deliverecthq/,https://deliverect.com,info@deliverect.com,+3292774577,,"Jan Hollez, Zhong Xu",Series A,Early Stage Venture,,,2,"Newion, SmartFin Ventures",,,,,3000000,EUR,3361005
Colvin,https://www.crunchbase.com/organization/the-colvin-co,"Classifieds, E-Commerce, Flowers, Internet",The Colvin Co is an Spanish online flower shop that offers a wide range of bouquets at accessible prices.,"7,202",11-50,2019-04-08,2016-12-01,month,https://www.linkedin.com/company/the-colvin-co/,http://thecolvinco.com,hello@thecolvinco.com,+34935568195,,"Andres Cester, Marc Olmedillo, Sergi Bastardas",Venture - Series Unknown,,,,3,"Samaipata, Milano Investment Partners, P101, Busy Angels, Sitka Capital",,,,,2000000,EUR,2251172
Payrix,https://www.crunchbase.com/organization/payrix,"Credit Cards, E-Commerce, Mobile Payments, Payments, Risk Management, SaaS, Software","Payrix provides marketplaces, SaaS businesses, and ISOs solutions for flexible payment facilitation.","7,208",51-100,2019-04-23,2015-08-01,day,https://www.linkedin.com/company/11194393/,http://www.payrix.com,support@payrix.com,855-672-9749,,"Benny Silberstein, Boruch Greenberg",Venture - Series Unknown,,,,2,"Providence Strategic Growth, Blue Star Innovation Partners",,,,,22000000,USD,22000000
