Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,Investment Stage,Company Type,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
Hourspent,https://www.crunchbase.com/organization/hourspent,"Communities, Freelance, Internet, Outsourcing, Recruiting, Software, Training",Hourspent is a community of handpicked resilient workforce,"29,676",11-50,2020-01-01,2016-01-01,year,,For Profit,https://www.linkedin.com/company/hourspent/,https://www.hourspent.com/,,+1 408 627 7822,,"Anthony Uwakeme, Blessing Ijoma",Pre-Seed,Seed,,,2,,,,,,100000,USD,100000
TRIBE,https://www.crunchbase.com/organization/tribe-25da,"Digital Marketing, Human Resources, Internet, Marketplace, Recruiting","First smart marketplace matching businesses with digital marketing talents, teams & tools.","114,234",1-10,2020-01-01,2019-10-01,month,,For Profit,https://www.linkedin.com/company/work-with-tribe/,https://workwithtribe.com/,contact@workwithtribe.com,,,Olya Ryabinina,Pre-Seed,Seed,,,1,,,,,,,,
Cool Company,https://www.crunchbase.com/organization/cool-company,"Professional Services, Recruiting, Service Industry",Cool Company is a service provider for self employed contractors.,"11,528",10001+,2019-12-19,2009-01-01,year,,For Profit,https://www.linkedin.com/company/cool-company-group,https://coolcompany.com/se/,fakturera@coolcompany.com,(010)330-3011,,Jan Bergstrand,Venture - Series Unknown,,,,1,Verdane Capital,,,,1,42000000,SEK,4463194
JobSquare,https://www.crunchbase.com/organization/jobsquare-b4b3,"Information Technology, Recruiting",Bridging the gap between you and your next hire.,"15,041",11-50,2019-12-19,2018-09-10,day,,For Profit,https://www.linkedin.com/company/job-square,https://jobsquare.com/,ishit@jobsquare.com,,,,Seed,Seed,,,,Titan Capital,,,,,10000000,INR,140386
Vndly,https://www.crunchbase.com/organization/vndly,"Human Resources, Recruiting, SaaS, Software, Staffing Agency",Vndly designs a vendor management SaaS platform that collaborates on the corporation's contingent workforce needs.,955,1-10,2019-12-17,2017-01-01,year,,For Profit,https://www.linkedin.com/company/vndly/,https://vndly.com/,info@vndly.com,818-703-3862,,"Narayana Surabhi, Shashank Saxena",Series B,Early Stage Venture,,,2,"ServiceNow, Battery Ventures, Hyde Park Venture Partners, Insight Partners, Bowery Capital",,,,,35000000,USD,35000000
Skills for Rhode Island’s Future,https://www.crunchbase.com/organization/skills-for-rhode-island-s-future,"Employment, Management Consulting, Non Profit, Recruiting",Skills for Rhode Island’s Future is to close the workforce skills gap for the unemployed in Rhode Island.,"41,001",11-50,2019-12-17,2016-01-01,year,,For Profit,https://www.linkedin.com/company/skillsforri/,https://skillsforri.com/,info@skillsforri.com,401-680-5960,,,Grant,,,,,American Student Assistance,,,,,1500000,USD,1500000
Rocket,https://www.crunchbase.com/organization/rocket,"Artificial Intelligence, Information Technology, Internet, Recruiting",Companies use Rocket to solve their recruiting needs,"11,278",1-10,2019-12-12,2017-01-01,year,,For Profit,https://www.linkedin.com/company/18076748/,https://www.getrocket.com/#wwd,info@getrocket.com,,,,Seed,Seed,,,,TheVentureCity Fund,,,,,2000000,USD,2000000
Jobss,https://www.crunchbase.com/organization/jobss,"Apps, Information Technology, Internet, Mobile, Mobile Apps, Recruiting, Software, Web Apps","SWIPE - CHAT - GET HIRED. Jobss is a mobile app that is making job searching and talent recruiting simple, smart, addictive and awesome.","28,930",1-10,2019-12-05,2019-02-24,day,,For Profit,https://www.linkedin.com/company/JobssOfficial,https://www.jobss.io,hey@jobss.io,+91-7569520133,,Srithan Savela,Seed,Seed,,,1,Vicky Web,,,,,1000000,INR,14037
MeetFrank,https://www.crunchbase.com/organization/meetfrank,"Apps, Human Resources, Recruiting",MeetFrank is a talent recruitment app.,"39,947",11-50,2019-12-05,2017-09-01,month,,For Profit,https://www.linkedin.com/company/meetfrank/,https://meetfrank.com/,hello@meetfrank.com,+37255555555,,"Anton Narusberg, Kaarel Holm",Series A,Early Stage Venture,,,2,"Hummingbird Ventures, Karma Ventures, ENERN Investments, Change Ventures",,,,,1500000,EUR,1665596
Otta,https://www.crunchbase.com/organization/otta-4374,"Internet, Recruiting, Software",Otta helps job seekers find roles at the world’s most innovative companies.,"10,051",1-10,2019-12-04,2019-06-01,day,,For Profit,https://www.linkedin.com/company/otta-hq/,https://otta.com,hello@otta.com,,,"Sam Franklin, Theo Margolius, Xav Kearney",Pre-Seed,Seed,,,3,"LocalGlobe, Shakil Khan, Paul Forster, Carlos Gonzalez- Cadenas, Duncan Jennings",,,,,850000,GBP,1114461
Sun Asterisk,https://www.crunchbase.com/organization/sun-asterisk,"Education, Recruiting, Software",Sun Asterisk is a software company provides software services.,"185,039",501-1000,2019-12-04,2013-01-01,day,,,,https://sun-asterisk.com/,,,,Hattori Yusuke,Venture - Series Unknown,,,,1,The Norinchukin Bank,,,,,1000000000,JPY,9188181
Fulcrum Workforce Solutions,https://www.crunchbase.com/organization/fulcrum-workforce-solutions,"Human Resources, Recruiting",Fulcrum Workforce Solutions is a job placement firm for technical tasks.,"26,592",1-10,2019-12-02,2018-01-01,year,,,https://www.linkedin.com/company/fulcrumworks/,https://fulcrumworks.com/,hello@fulcrumworks.com,,,,Seed,Seed,,,,Greatscale Ventures,,,,,1000000,USD,1000000
Bosszhipin,https://www.crunchbase.com/organization/bosszhipin,"Human Resources, Mobile Apps, Recruiting",Bosszhipin is a recruitment mobile app.,"11,035",501-1000,2019-11-28,2014-01-01,year,,For Profit,https://www.linkedin.com/company/boss-zhipin,https://www.bosszhipin.com/,jubao@kanzhun.com,010-84150633,,Tao Zhang,Series E,Late Stage Venture,,,1,"Tencent Holdings, 36Kr, GGV Capital, Shunwei Capital, Gaorong Capital",,,,,,,
Sabbar,https://www.crunchbase.com/organization/sabbar,"Analytics, Human Resources, Information Technology, Recruiting, Retail, Staffing Agency","Sabbar is a niche on-demand staffing platform for gig workers in the retail, entertainment and service industry in MENA region.","14,273",11-50,2019-11-25,2019-01-01,day,,For Profit,https://www.linkedin.com/company/sabbarhq/,https://sabbar.com,mohamed@sabbar.com,,,"Abdul-rahman Almudaiheem, Afnan Sherbeeni, Mohamed T. Ibrahim, Sara Alshimemri",Seed,Seed,,,4,"500 Startups, VentureSouq, Derayah Capital",,,,,1500000,USD,1500000
Visage,https://www.crunchbase.com/organization/visage-2,"Artificial Intelligence, Crowdsourcing, Employment, Human Resources, Recruiting",Automated candidate sourcing using AI & Crowdsourcing,"15,809",51-100,2019-11-25,2016-01-01,year,,For Profit,https://www.linkedin.com/company/visage-dmcc,http://www.visage.jobs,team@visage.jobs,,,"Barry Potier, Emmanuel Marboeuf, Joss Leufrancois",Corporate Round,,,,3,"FundersClub, Alchemist Accelerator, Newfund Capital, Dubai Angel Investors, Cielo Talent",,,,,,,
Circuit Clinical,https://www.crunchbase.com/organization/circuit-clinical,"Clinical Trials, Internet, Product Research, Recruiting, Social Network",Circuit Clinical is an integrated research organisation.,"44,188",11-50,2019-11-22,2015-01-01,year,,,https://www.linkedin.com/company/circuit-clinical/,http://www.circuitclinical.com/,,+1 716-249-6700,,,Convertible Note,,,,,"Launch NY, 43North",,,,,50000,USD,50000
Pathrise,https://www.crunchbase.com/organization/pathrise,"Career Planning, College Recruiting, Education, Recruiting, Universities",Online mentorship program for your job search,"33,605",11-50,2019-11-19,2017-02-23,day,,For Profit,https://www.linkedin.com/company/18427103/admin/,https://www.pathrise.com/,info@pathrise.com,,,"Derrick Mar, Kevin Wu",Seed,Seed,,,2,"Y Combinator, LetsVenture, Western Technology Investment, Learn Capital, Kairos",,,,,3100000,USD,3100000
Headstart,https://www.crunchbase.com/organization/headstart-app,"Artificial Intelligence, College Recruiting, Human Resources, Machine Learning, Recruiting, Software",Headstart is diversity recruiting software focused on breaking the cycle of exclusion.  ,"4,144",11-50,2019-11-18,2016-08-26,day,,For Profit,https://www.linkedin.com/company/headstart-ai/,https://www.headstart.io,info@headstartapp.com,,,"Jeremy Hindle, Nicholas Shekerdemian",Seed,Seed,,,2,"Y Combinator, Plug and Play, Tenaya Capital, Hack VC, FoundersX Ventures",,,,,7000000,USD,7000000
Cybrary,https://www.crunchbase.com/organization/cybrary,"Cyber Security, E-Learning, EdTech, Education, Open Source, Recruiting, Training",Free and Crowd Sourced IT and Cyber Security Learning,"4,212",11-50,2019-11-13,2015-01-13,day,,For Profit,https://www.linkedin.com/company/cybrary,https://www.cybrary.it,info@cybrary.it,,,"Ralph Sita, Ryan Corey",Series B,Early Stage Venture,,,2,"Cognizant, New Stack Ventures, Arthur Ventures, BuildGroup, Blu Venture Investors",,,,,15000000,USD,15000000
CBREX,https://www.crunchbase.com/organization/cbrex,"Internet, Recruiting, Social Recruiting",CBREX AN AI DRIVEN VMS.,"27,659",11-50,2019-11-11,2015-01-01,year,,For Profit,https://www.linkedin.com/company/expat-naukri-pvt-ltd,http://www.cbr.exchange/,support@cbr.exchange,,,"Anand Karunjay, Gautam Sinha, Sanjeev Punwani",Venture - Series Unknown,,,,3,"Vikram Chachra, Sundara Rajan, Prahlad Rao",,,,,1100000,USD,1100000
Papaya Global,https://www.crunchbase.com/organization/papaya-global,"Analytics, Business Intelligence, Cloud Data Services, FinTech, Human Resources, Internet, Recruiting, SaaS","Papaya Global is a global HRIS that transforms global payroll, payments, and workforce management.","1,512",51-100,2019-11-05,2016-01-01,day,,For Profit,https://www.linkedin.com/company/papaya-global/,https://papayaglobal.com,contact@papayaglobal.com,,,"Eynat Guez, Ofer Herman, Ruben Drong",Series A,Early Stage Venture,,,3,"Bessemer Venture Partners, Insight Partners, New Era Capital Partners, Ronald Cohen, Dynamic Loop Capital",,,,,45000000,USD,45000000
eFuse,https://www.crunchbase.com/organization/efuse,"eSports, Internet, Mobile Apps, News, Recruiting, Software, Video Games, Web Apps",eFuse is a mobile & web application focused on establishing gaming identity & enabling individuals to participate in the industry.,"10,052",1-10,2019-11-05,2018-11-28,day,,For Profit,https://www.linkedin.com/company/efuseofficial/,https://efuse.gg,info@efuse.io,,,Matthew Benson,Seed,Seed,,,1,Ohio Innovation Fund,,,,,1400000,USD,1400000
Bunch,https://www.crunchbase.com/organization/bunch-ai,"Analytics, Human Resources, Information Technology, Recruiting","Bunch is a team management platform helps high-growth companies to develop a strong culture, increase performance & hire the best.","5,931",11-50,2019-11-01,2016-01-01,year,,For Profit,https://www.linkedin.com/company-beta/18093941,http://bunch.ai,hey@bunch.ai,49 30 555732266,,"Anthony Reo, Britta Weber, Charles Ahmadzadeh, Darja Gutnick",Seed,Seed,,,4,"High-Tech Grunderfonds, M13, Atlantic Labs, Marius Schulze, Friedrich A. Neuman",,,,,1500000,USD,1500000
GeekHunter Brasil,https://www.crunchbase.com/organization/geekhunter-brasil,"Human Resources, Information Technology, iOS, Recruiting, Software","GeekHunter is an online platform developed to capture, test and select the best IT professionals.","28,187",11-50,2019-11-01,2015-01-01,year,,For Profit,https://www.linkedin.com/company/geekhunter-brasil/,https://www.geekhunter.com.br/,contato@geekhunter.com.br,+55 48 9913-6021,,"Celso Ferrari, Tomas Ferrari",Seed,Seed,,,2,"Bossa Nova Investimentos, 42K Investimentos, Gávea Angels, Hangar 8",,,,,2000000,BRL,501215
Jobful,https://www.crunchbase.com/organization/jobful,"Information Technology, Recruiting, SaaS, Software",Gamified recruitment platform.,"39,111",11-50,2019-11-01,2018-05-12,day,,For Profit,https://www.linkedin.com/company/18047988/,https://www.jobful.ro,echipa@jobful.ro,+40729851373,,,Pre-Seed,Seed,,,,,,,,,375000,EUR,418809
FOH & BOH,https://www.crunchbase.com/organization/foh-boh,"Consulting, Recruiting, Restaurants",FOH & BOH is an innovative platform that uses technology to pair talented restaurant candidates.,"53,416",,2019-11-01,,,,For Profit,,https://fohandboh.com/,,,,,Seed,Seed,,,,Claritas Capital,,,,,500000,USD,500000
MyKaam,https://www.crunchbase.com/organization/mykaam,"Apps, Recruiting",MyKaam is a job search app.,"54,051",,2019-11-01,2016-01-01,day,,For Profit,https://www.linkedin.com/company/mykaamapp/,,,,,,Debt Financing,Seed,,,,Venture Catalysts,,,,,285000,USD,285000
Get on Board,https://www.crunchbase.com/organization/get-on-board,"Human Resources, Recruiting","Get on Board is a job platform for digital professionals that powers teams with recruiting tools and access to tech talents, in one place.","151,799",11-50,2019-11-01,2011-01-01,year,,,https://www.linkedin.com/company/get-on-board/,https://www.getonbrd.com/,info@getonbrd.com,,,"Jorge Rodriguez, Sergio Nouvel",Pre-Seed,Seed,,,2,,,,,,,,
Taimee,https://www.crunchbase.com/organization/taimee,"Recruiting, Task Management","Taimee is a Planning, development and management of Internet media company.","159,945",,2019-10-31,2017-08-01,day,,,,https://www.taimee.co.jp/,,,,,Venture - Series Unknown,,,,,"SBI Investment, JAFCO Japan, JR East Start Up, SBS holdings",,,,,2000000000,JPY,18518317
Workiz,https://www.crunchbase.com/organization/workiz,"CRM, Enterprise Software, Recruiting, SaaS, Small and Medium Businesses, Software",Workiz is the the only field service management and communication platform for small-medium on-demand businesses in North America,"9,427",11-50,2019-10-30,2015-06-01,day,,For Profit,https://www.linkedin.com/company/workizinc/,https://workiz.com,info@workiz.com,(855) 790-7363,,"Erez Marom, Idan Kadosh, Saar Kohanovitch",Series A,Early Stage Venture,,,3,"NUMA, Aleph, TMT Investments, Magenta Venture Partners",,,,,5000000,USD,5000000
Fountain,https://www.crunchbase.com/organization/fountain,"Enterprise Software, Human Resources, Recruiting",Fountain is the leading talent platform for the hourly workforce.,"29,513",11-50,2019-10-29,2014-01-01,year,,For Profit,https://www.linkedin.com/company/4858006,https://get.fountain.com/,sales@fountain.com,415-854-7333,,"Jeremy Cai, Keith Ryu",Series B,Early Stage Venture,,,2,"Y Combinator, FundersClub, Salesforce Ventures, Sherpa Capital, Uncork Capital",,,,,23000000,USD,23000000
career-lunch.com,https://www.crunchbase.com/organization/career-lunch-com,"Employment, Internet, Recruiting, Social",Career-lunch.com is a recruitment platform that aims to pair potential hires with employees through informal exchanges over lunch.,"118,780",1-10,2019-10-29,2019-01-01,year,,For Profit,https://www.linkedin.com/showcase/careerlunch1/,https://career-lunch.com/,,,,,Grant,,,,,Venture Kick,,,,,10000,CHF,10058
Welcome to the Jungle,https://www.crunchbase.com/organization/welcome-to-the-jungle,"Human Resources, Recruiting, SaaS, Staffing Agency",Welcome to the Jungle is a multi-channel media company that aims to inspire every individual to thrive in their professional lives.,"36,335",101-250,2019-10-28,2014-05-09,day,,For Profit,https://www.linkedin.com/company/wttj-en/,https://www.welcometothejungle.com/en,contact@wttj.co,,,"Bertrand Uzeel, Jeremy Cledat",Series B,Early Stage Venture,,,2,"Bpifrance, NUMA, Kima Ventures, XAnge, Financiere Saint James",,,,,22300000,USD,22300000
AdaKerja,https://www.crunchbase.com/organization/adakerja,"Apps, B2B, Employment, Human Resources, Internet, Marketplace, Recruiting, Software",chat to get a job ; push a button to hire,"34,447",11-50,2019-10-25,2017-01-01,year,,For Profit,https://www.linkedin.com/company/adakerja,https://adakerja.com,,,,"Ashwin Tiwari, Zbigniew Sobiecki",Seed,Seed,,,2,BEENEXT,,,,,1000000,USD,1000000
Coople,https://www.crunchbase.com/organization/staff-finder,"Employment, Human Resources, Marketplace, Recruiting",Coople operates as a staffing platform that connects companies and workers.,"3,359",101-250,2019-10-24,2009-01-01,year,,For Profit,https://www.linkedin.com/company/coople/,https://www.coople.com,info@coople.com,+44 (0) 208 338 9333,,Viktor Calabro,Series C,Late Stage Venture,,,1,"Goldman Sachs, One Peak Partners, Harbert European Growth Capital, Goldman Sachs Private Capital Investing",,,,,32000000,USD,32000000
Abodoo,https://www.crunchbase.com/organization/abodoo,"Communities, Human Resources, Internet, Recruiting",Abodoo is the fastest growing global talent platform for SmartWorkers that intelligently matches and reduces unconscious bias in hiring,"32,623",11-50,2019-10-22,2017-01-01,year,,For Profit,https://in.linkedin.com/company/abodoo,https://abodoo.com/,info@abodoo.com,,,"Ben Wainwright, Vanessa Tierney",Angel,Seed,,,2,"Enterprise Ireland, Dan Kiely",,,,,196000,USD,196000
HardHats,https://www.crunchbase.com/organization/hardhats,"Construction, Employment, Recruiting",HardHats is an application and service for the construction workforce that provides temporary staffing to contractors.,"58,907",1-10,2019-10-21,2019-01-01,year,,,https://www.linkedin.com/company/hirehardhats/,https://www.hirehardhats.com/,,,,Kassidy Hazelton,Pre-Seed,Seed,,,1,Coplex,,,,,50000,USD,50000
HireVue,https://www.crunchbase.com/organization/hirevue,"Artificial Intelligence, Corporate Training, Human Resources, Recruiting, SaaS, Software, Video","HireVue's Hiring Intelligence Platform delivers the best talent, faster with video interviews and AI-driven pre-hire assessments.","1,355",251-500,2019-10-15,2004-04-01,day,,For Profit,http://www.linkedin.com/company/hirevue,http://www.hirevue.com,sales@hirevue.com,(801) 316-2910,,"Chip Luman, Mark Newman",Private Equity,Private Equity,,,2,"Sequoia Capital, The Carlyle Group, TCV, Kickstart Seed Fund, Granite Ventures",,,,4,,,
Job.com,https://www.crunchbase.com/organization/job,"Employment, Recruiting, Service Industry","Job.com is evolving the traditional recruitment model, rewarding successful jobseekers with a 5% salary signing bonus.","83,708",11-50,2019-10-15,2001-01-01,year,,For Profit,https://www.linkedin.com/company/job-com/,http://job.com,Info@job.com,+1-866-556-2266,,,Private Equity,M&A,,,,,,,,,,,
LaPieza.io,https://www.crunchbase.com/organization/talento-startup,Recruiting,LaPieza.io is an intelligent HR platform specialized in showing the best candidates based on companies' culture.,"79,834",1-10,2019-10-10,2018-05-01,month,,For Profit,https://www.linkedin.com/company/talentostartup/,https://lapieza.io/,pol@lapieza.io,005212222932663,,Pol Morral Dauvergne,Convertible Note,,,,1,COLABORATIVOx,,,,,25000,USD,25000
Spotmate,https://www.crunchbase.com/organization/spotmate,"Human Resources, Recruiting",Spotmate is an HE Tech company provide matching service specializing in part-time work  Starting with “Baity”.,,,2019-10-08,,,,For Profit,,https://www.spotmate.com/contact,contact@spotmate.com,,,,Corporate Round,,,,,Usen-Next Holdings,,,,,,,
Talenya,https://www.crunchbase.com/organization/talenya,"Employment, Human Resources, Recruiting, Staffing Agency",Talenya uses artificial intelligence to help talent acquisition teams fill jobs faster.,"11,415",,2019-10-07,2016-01-01,year,,For Profit,https://www.linkedin.com/company/talenya/,http://talenya.com,talenyajobs@talenya.com,,,"Doron Segal, Gal Almog",Venture - Series Unknown,,,,2,"Israel Innovation Authority, lool ventures, Ibex Investors, Gal Ventures, East Wind Capital",,,,,6500000,USD,6500000
TalentPool,https://www.crunchbase.com/organization/talentpool,"Events, Human Resources, Recruiting",TalentPool is a Talent Matching Platform connecting talented recent graduates.,"20,617",11-50,2019-10-03,2013-10-01,day,,For Profit,https://www.linkedin.com/company/5390589,http://www.talentpool.com,contact@talentpool.com,+02031264882,,"Andrew Lavelle, Tom Davenport",Venture - Series Unknown,,,,2,"QVentures, Kingsley Duffy, Joe Saumarez Smith, Niche Invest, Stephen Warrington",,,,,1000000,GBP,1234136
Worksome,https://www.crunchbase.com/organization/worksome,"Artificial Intelligence, Freelance, Human Resources, Recruiting",Worksome connects highly skilled freelancers and independent consultants with companies.,"14,472",11-50,2019-10-02,2016-11-01,day,,For Profit,https://www.linkedin.com/company/worksome,http://www.worksome.com,morten@worksome.com,+4524243824,,"Christina Brun Petersen, Hans Peter Nielsen, Mathias Linnemann, Morten Petersen",Convertible Note,Seed,,,4,Tommy Ahlers,,,,,1000000,USD,1000000
jobpal,https://www.crunchbase.com/organization/job-pal,"Artificial Intelligence, Human Resources, Information Technology, Mobile, Natural Language Processing, Recruiting",jobpal build custom chatbots that facilitate the engagement between companies and candidates.,"12,240",11-50,2019-10-01,2016-06-01,day,,For Profit,https://www.linkedin.com/company/job-pal/about/,https://jobpal.ai,contact@jobpal.ai,+493098559521,,"Andriy Martyniv, Christoph Gueldenberg, Luc Dudler",Seed,Seed,,,3,"InReach Ventures, Acadian Ventures",,,,,2500000,EUR,2733874
Scouta,https://www.crunchbase.com/organization/scouta-85cc,"Recruiting, Social Recruiting, Software",Scouta is a talent referral marketplace for companies you'll want to work for.,"36,722",1-10,2019-10-01,2019-09-01,day,,For Profit,https://linkedin.com/company/getscouta,https://getscouta.com,hello@getscouta.com,,,"David Smyth, Stuart Hunter",Pre-Seed,Seed,,,2,Antler,,,,,155000,AUD,103970
Brazen Technologies,https://www.crunchbase.com/organization/brazen-technologies,"Enterprise Software, Human Resources, Recruiting",Brazen helps organizations create better engagement through chat-based online events.,"8,832",11-50,2019-09-30,2007-01-01,year,,,http://www.linkedin.com/company/brazen-careerist,https://www.brazen.com/,events@brazen.com,+1 (703) 879-8029,,"Penelope Trunk, Ryan Healy, Ryan Paugh",Series C,Late Stage Venture,,,3,"CIT GAP Funds, Osage Venture Partners, Randstad Innovation Fund, Dingman Center for Entrepreneurship, Militello Capital",,,,,3150000,USD,3150000
ProSky,https://www.crunchbase.com/organization/prosky-inc-,"Corporate Training, Employment, Human Resources, Recruiting, SaaS",Innovatively evaluate candidates for hire and develop employees through succession pathways on one comprehensive platform.,"18,191",11-50,2019-09-30,2015-01-01,year,,For Profit,http://www.linkedin.com/company/prosky,http://www.prosky.co/,hi@ProSky.co,,,"Crystal Huang, Fabio Panettieri, Matthew Ang",Seed,Seed,,,3,"500 Startups, Social Starts, Learn Capital, Lightbank, Kapor Capital",,,,,,,
Terminal,https://www.crunchbase.com/organization/terminal-io,"Business Development, Human Resources, Recruiting, Software, Software Engineering",Terminal builds  engineering teams to accelerate companies.,"33,753",101-250,2019-09-26,2017-01-01,year,,For Profit,https://www.linkedin.com/company/jointerminal/,https://www.terminal.io/,stdin@terminal.io,,,"Andrew Dudum, Dylan Serota, Jack Abraham, Joseph Lonsdale, Luke Finney",Series B,Early Stage Venture,,,5,"Lightspeed Venture Partners, Thiel Capital, Kleiner Perkins, Atomic, Cathay Innovation",,,,,17000000,USD,17000000
Neuvoo,https://www.crunchbase.com/organization/neuvoo,"Advertising, Recruiting",Neuvoo offers a job search website where people can search for all types of employment and for particular salaries.,"2,784",101-250,2019-09-19,2011-01-05,day,,For Profit,,http://neuvoo.com,info@neuvoo.ca,,,"Benjamin Philion, Lucas Martinez, Maxime Droux",Private Equity,Private Equity,,,3,"Caisse de Depot et Placement du Quebec, Hermes Partners SL",,,,,53000000,USD,53000000
MarketerHire,https://www.crunchbase.com/organization/marketerhire,"Marketing, Recruiting",MarketerHire is a hiring platform for marketing talent.,"22,279",,2019-09-19,2019-01-01,year,,,,https://marketerhire.com/,info@marketerhire.com,312-870-0008,,"Chris Toy, Raaja Nemani",Angel,Seed,,,2,"Nick Green, Dan Arriola, Greg Kaplan",,,,,1000000,USD,1000000
